Actual data of,Barishal_load,Mymensingh_load,Chattogram_load,Rangpur_load,Demand_Lag7,Khulna_load,Sylhet_load,Dhaka_load,Demand_Lag1,IsWeekend,Low water level in Kaptai lake,Coal supply Limitation,DayOfWeek,Cumilla_load,Demand_Lag2,Gas/LF limitation,Month,Rajshahi_load,Demand_Rolling7_Mean,Max. Demand at eve. peak (Generation end),Regional_Demand_PCA
2019-07-12,0.0,0.0,0.0,0.0,8436.0,0.0,0.0,0.0,7568.0,1,0.0,0.0,4,0.0,8692.0,1076.0,7,0.0,8464.714285714286,8538.0,-5.6654663148449815
2019-08-12,0.0,0.0,0.0,0.0,8778.0,0.0,0.0,0.0,8538.0,0,0.0,0.0,0,0.0,7568.0,1116.0,8,0.0,8479.285714285714,8619.0,-5.469648758185026
2019-09-12,0.0,0.0,0.0,0.0,8542.0,0.0,0.0,0.0,8619.0,0,150.0,0.0,3,0.0,8538.0,1230.0,9,0.0,8456.57142857143,8721.0,-5.434905155100486
2019-10-12,0.0,0.0,0.0,0.0,8529.0,0.0,0.0,0.0,8721.0,1,150.0,0.0,5,0.0,8619.0,1228.0,10,0.0,8482.142857142857,8538.0,-5.387216005756757
2019-11-12,0.0,0.0,0.0,0.0,8708.0,0.0,0.0,0.0,8538.0,0,150.0,0.0,1,0.0,8721.0,1212.0,11,0.0,8483.42857142857,8528.0,-5.417769890922017
2019-11-21,0.0,0.0,0.0,0.0,8692.0,0.0,0.0,0.0,8528.0,0,0.0,0.0,3,0.0,8538.0,1349.0,11,0.0,8457.714285714286,8785.0,-5.508208888909403
2019-11-22,0.0,0.0,0.0,0.0,7568.0,0.0,0.0,0.0,8785.0,1,0.0,0.0,4,0.0,8528.0,1164.0,11,0.0,8471.0,7886.0,-6.20789136725739
2019-11-23,0.0,0.0,0.0,0.0,8538.0,0.0,0.0,0.0,7886.0,1,0.0,0.0,5,0.0,8785.0,1114.0,11,0.0,8516.42857142857,8827.0,-5.451595443172649
2019-11-24,0.0,0.0,0.0,0.0,8619.0,0.0,0.0,0.0,8827.0,0,0.0,0.0,6,0.0,7886.0,1204.0,11,0.0,8557.714285714286,8855.0,-5.398640694473022
2019-11-25,0.0,0.0,0.0,0.0,8721.0,0.0,0.0,0.0,8855.0,0,0.0,0.0,0,0.0,8827.0,1255.0,11,0.0,8591.42857142857,8982.0,-5.171416380307642
2019-11-26,0.0,0.0,0.0,0.0,8538.0,0.0,0.0,0.0,8982.0,0,0.0,0.0,1,0.0,8855.0,1168.0,11,0.0,8628.714285714286,8904.0,-5.11467843379218
2019-11-27,0.0,0.0,0.0,0.0,8528.0,0.0,0.0,0.0,8904.0,0,0.0,0.0,2,0.0,8982.0,1163.0,11,0.0,8681.0,9185.0,-4.965215028045479
2019-11-28,0.0,0.0,0.0,0.0,8785.0,0.0,0.0,0.0,9185.0,0,0.0,0.0,3,0.0,8904.0,1198.0,11,0.0,8774.857142857143,9051.0,-4.936127095139634
2019-11-29,0.0,0.0,0.0,0.0,7886.0,0.0,0.0,0.0,9051.0,1,0.0,0.0,4,0.0,9185.0,1118.0,11,0.0,8812.857142857143,8049.0,-5.906158159539133
2019-11-30,0.0,0.0,0.0,0.0,8827.0,0.0,0.0,0.0,8049.0,1,0.0,0.0,5,0.0,9051.0,1130.0,11,0.0,8836.142857142857,8989.0,-5.155560805537215
2019-12-12,0.0,0.0,0.0,0.0,8855.0,0.0,0.0,0.0,8989.0,0,150.0,0.0,3,0.0,8049.0,1092.0,12,0.0,8859.285714285714,8622.0,-5.398872811510928
2019-12-13,0.0,0.0,0.0,0.0,8982.0,0.0,0.0,0.0,8622.0,1,150.0,0.0,4,0.0,8989.0,1237.0,12,0.0,8826.0,7568.0,-6.386830821552468
2019-12-14,0.0,0.0,0.0,0.0,8904.0,0.0,0.0,0.0,7568.0,1,149.0,0.0,5,0.0,8622.0,1080.0,12,0.0,8624.0,8523.0,-5.62361466730666
2019-12-15,0.0,0.0,0.0,0.0,9185.0,0.0,0.0,0.0,8523.0,0,148.0,0.0,6,0.0,7568.0,1168.0,12,0.0,8569.57142857143,8517.0,-5.674392028461517
2019-12-16,0.0,0.0,0.0,0.0,9051.0,0.0,0.0,0.0,8517.0,0,149.0,0.0,0,0.0,8523.0,1172.0,12,0.0,8474.142857142857,7443.0,-6.648341100636206
2019-12-17,0.0,0.0,0.0,0.0,8049.0,0.0,0.0,0.0,7443.0,0,147.0,0.0,1,0.0,8517.0,1160.0,12,0.0,8244.42857142857,8445.0,-5.8788360383180285
2019-12-18,0.0,0.0,0.0,0.0,8989.0,0.0,0.0,0.0,8445.0,0,147.0,0.0,2,0.0,7443.0,1490.0,12,0.0,8301.0,8479.0,-5.713915568202546
2019-12-19,0.0,0.0,0.0,0.0,8622.0,0.0,0.0,0.0,8479.0,0,148.0,0.0,3,0.0,8445.0,1357.0,12,0.0,8228.142857142857,8487.0,-5.634203211580674
2019-12-20,0.0,0.0,0.0,0.0,7568.0,0.0,0.0,0.0,8487.0,1,148.0,0.0,4,0.0,8479.0,1403.0,12,0.0,8208.857142857143,7597.0,-6.486942557620832
2019-12-21,0.0,0.0,0.0,0.0,8523.0,0.0,0.0,0.0,7597.0,1,148.0,0.0,5,0.0,8487.0,1257.0,12,0.0,8213.0,8364.0,-5.660221335595769
2019-12-22,0.0,0.0,0.0,0.0,8517.0,0.0,0.0,0.0,8364.0,0,150.0,0.0,6,0.0,7597.0,1307.0,12,0.0,8190.285714285715,8600.0,-5.5680503518023965
2019-12-23,0.0,0.0,0.0,0.0,7443.0,0.0,0.0,0.0,8600.0,0,144.0,0.0,0,0.0,8364.0,1389.0,12,0.0,8202.142857142857,8483.0,-5.7281338990119
2019-12-24,0.0,0.0,0.0,0.0,8445.0,0.0,0.0,0.0,8483.0,0,147.0,0.0,1,0.0,8600.0,1369.0,12,0.0,8350.714285714286,8636.0,-5.601773960697782
2019-12-25,0.0,0.0,0.0,0.0,8479.0,0.0,0.0,0.0,8636.0,0,186.0,0.0,2,0.0,8483.0,1408.0,12,0.0,8378.0,8573.0,-5.6935938363862215
2019-12-26,0.0,0.0,0.0,0.0,8487.0,0.0,0.0,0.0,8573.0,0,186.0,0.0,3,0.0,8636.0,1429.0,12,0.0,8391.42857142857,8555.0,-5.6814180419391125
2019-12-27,0.0,0.0,0.0,0.0,7597.0,0.0,0.0,0.0,8555.0,1,189.0,0.0,4,0.0,8573.0,1404.0,12,0.0,8401.142857142857,7601.0,-6.665278419926954
2019-12-28,0.0,0.0,0.0,0.0,8364.0,0.0,0.0,0.0,7601.0,1,186.0,0.0,5,0.0,8555.0,1469.0,12,0.0,8401.714285714286,8711.0,-5.611263981886653
2019-12-29,0.0,0.0,0.0,0.0,8600.0,0.0,0.0,0.0,8711.0,0,190.0,0.0,6,0.0,7601.0,1299.0,12,0.0,8451.285714285714,8567.0,-5.675119573151774
2019-12-30,0.0,0.0,0.0,0.0,8483.0,0.0,0.0,0.0,8567.0,0,185.0,0.0,0,0.0,8711.0,1304.0,12,0.0,8446.57142857143,8702.0,-5.3597368602605595
2019-12-31,0.0,0.0,0.0,0.0,8636.0,0.0,0.0,0.0,8702.0,0,185.0,0.0,1,0.0,8567.0,1329.0,12,0.0,8477.857142857143,8667.0,-5.34288026813802
2020-01-01,0.0,0.0,0.0,0.0,8573.0,0.0,0.0,0.0,8667.0,0,185.0,170.0,2,0.0,8702.0,3710.0,1,0.0,8482.285714285714,7934.0,-5.645778744150015
2020-01-02,0.0,0.0,0.0,0.0,8555.0,0.0,0.0,0.0,7934.0,0,150.0,0.0,3,0.0,8667.0,1380.0,1,0.0,8391.0,8731.0,-5.4021403543685595
2020-01-03,0.0,0.0,0.0,0.0,7601.0,0.0,0.0,0.0,8731.0,1,162.0,0.0,4,0.0,7934.0,1750.0,1,0.0,8416.142857142857,9719.0,-4.584143409487528
2020-01-04,0.0,0.0,0.0,0.0,8711.0,0.0,0.0,0.0,9719.0,1,159.0,0.0,5,0.0,8731.0,1099.0,1,0.0,8718.714285714286,10113.0,-2.6503770260153487
2020-01-05,0.0,0.0,0.0,0.0,8567.0,0.0,0.0,0.0,10113.0,0,195.0,170.0,6,0.0,9719.0,1059.0,1,0.0,8919.0,8056.0,-4.738407959342553
2020-01-06,0.0,0.0,0.0,0.0,8702.0,0.0,0.0,0.0,8056.0,0,194.0,170.0,0,0.0,10113.0,1137.0,1,0.0,8846.0,9834.0,-3.498791116819863
2020-01-07,0.0,0.0,0.0,0.0,8667.0,0.0,0.0,0.0,9834.0,0,121.0,170.0,1,0.0,8056.0,943.0,1,0.0,9007.714285714286,12112.0,-0.815659567322994
2020-01-08,0.0,0.0,0.0,0.0,7934.0,0.0,0.0,0.0,12112.0,0,86.0,170.0,2,0.0,9834.0,975.0,1,0.0,9499.857142857143,10778.0,-0.7720943458892708
2020-01-09,0.0,0.0,0.0,0.0,8731.0,0.0,0.0,0.0,10778.0,0,151.0,170.0,3,0.0,12112.0,2105.0,1,0.0,9906.142857142857,11453.0,-0.5035115779853475
2020-01-10,0.0,0.0,0.0,0.0,9719.0,0.0,0.0,0.0,11453.0,1,186.0,170.0,4,0.0,10778.0,1154.0,1,0.0,10295.0,12065.0,0.2654839296662849
2020-01-11,0.0,0.0,0.0,0.0,10113.0,0.0,0.0,0.0,12065.0,1,71.0,95.0,5,0.0,11453.0,1200.0,1,0.0,10630.142857142857,11051.0,-1.09496653279077
2020-01-12,0.0,0.0,0.0,0.0,8056.0,0.0,0.0,0.0,11051.0,0,141.0,170.0,6,0.0,12065.0,1697.0,1,0.0,10764.142857142857,8968.0,-3.9475304132776987
2020-01-13,0.0,0.0,0.0,0.0,9834.0,0.0,0.0,0.0,8968.0,0,190.0,0.0,0,0.0,11051.0,927.0,1,0.0,10894.42857142857,8827.0,-4.581093788990533
2020-01-14,0.0,0.0,0.0,0.0,12112.0,0.0,0.0,0.0,8827.0,0,190.0,0.0,1,0.0,8968.0,1024.0,1,0.0,10750.57142857143,8727.0,-4.545451273595171
2020-01-15,0.0,0.0,0.0,0.0,10778.0,0.0,0.0,0.0,8727.0,0,187.0,0.0,2,0.0,8827.0,1204.0,1,0.0,10267.0,8762.0,-4.756256828208179
2020-01-16,0.0,0.0,0.0,0.0,11453.0,0.0,0.0,0.0,8762.0,0,189.0,0.0,3,0.0,8727.0,1204.0,1,0.0,9979.0,8908.0,-4.597503367094703
2020-01-17,0.0,0.0,0.0,0.0,12065.0,0.0,0.0,0.0,8908.0,1,190.0,0.0,4,0.0,8762.0,1204.0,1,0.0,9615.42857142857,7918.0,-5.378509666993064
2020-01-18,0.0,0.0,0.0,0.0,11051.0,0.0,0.0,0.0,7918.0,1,187.0,0.0,5,0.0,8908.0,1275.0,1,0.0,9023.0,8805.0,-4.815999321922705
2020-01-19,0.0,0.0,0.0,0.0,8968.0,0.0,0.0,0.0,8805.0,0,187.0,0.0,6,0.0,7918.0,1275.0,1,0.0,8702.142857142857,8978.0,-5.15952516359945
2020-01-20,0.0,0.0,0.0,0.0,8827.0,0.0,0.0,0.0,8978.0,0,194.0,0.0,0,0.0,8805.0,1580.0,1,0.0,8703.57142857143,8959.0,-4.843269766455376
2020-01-21,0.0,0.0,0.0,0.0,8727.0,0.0,0.0,0.0,8959.0,0,190.0,0.0,1,0.0,8978.0,1580.0,1,0.0,8722.42857142857,9009.0,-4.9156458054477135
2020-01-22,0.0,0.0,0.0,0.0,8762.0,0.0,0.0,0.0,9009.0,0,196.0,0.0,2,0.0,8959.0,1580.0,1,0.0,8762.714285714286,9076.0,-4.880611826084688
2020-01-23,0.0,0.0,0.0,0.0,8908.0,0.0,0.0,0.0,9076.0,0,193.0,0.0,3,0.0,9009.0,1580.0,1,0.0,8807.57142857143,8895.0,-4.953962186777657
2020-01-24,0.0,0.0,0.0,0.0,7918.0,0.0,0.0,0.0,8895.0,1,194.0,0.0,4,0.0,9076.0,1580.0,1,0.0,8805.714285714286,8121.0,-5.668024578624167
2020-01-25,0.0,0.0,0.0,0.0,8805.0,0.0,0.0,0.0,8121.0,1,196.0,0.0,5,0.0,8895.0,1178.0,1,0.0,8834.714285714286,8866.0,-5.2144647330836
2020-01-26,0.0,0.0,0.0,0.0,8978.0,0.0,0.0,0.0,8866.0,0,190.0,0.0,6,0.0,8121.0,1275.0,1,0.0,8843.42857142857,9019.0,-4.993540912533079
2020-01-27,0.0,0.0,0.0,0.0,8959.0,0.0,0.0,0.0,9019.0,0,190.0,0.0,0,0.0,8866.0,1275.0,1,0.0,8849.285714285714,9068.0,-4.686916280115237
2020-01-28,0.0,0.0,0.0,0.0,9009.0,0.0,0.0,0.0,9068.0,0,198.0,0.0,1,0.0,9019.0,1455.0,1,0.0,8864.857142857143,9196.0,-4.782758368440225
2020-01-29,0.0,0.0,0.0,0.0,9076.0,0.0,0.0,0.0,9196.0,0,198.0,0.0,2,0.0,9068.0,1455.0,1,0.0,8891.57142857143,9223.0,-4.7996920133891
2020-01-30,0.0,0.0,0.0,0.0,8895.0,0.0,0.0,0.0,9223.0,0,198.0,0.0,3,0.0,9196.0,1410.0,1,0.0,8912.57142857143,9077.0,-4.845835555113971
2020-01-31,0.0,0.0,0.0,0.0,8121.0,0.0,0.0,0.0,9077.0,1,200.0,0.0,4,0.0,9223.0,1415.0,1,0.0,8938.57142857143,8250.0,-5.595073412618341
2020-02-01,0.0,0.0,0.0,0.0,8866.0,0.0,0.0,0.0,8250.0,1,187.0,170.0,5,0.0,9077.0,3932.0,2,0.0,8957.0,8946.0,-4.544155253181498
2020-02-02,0.0,0.0,0.0,0.0,9019.0,0.0,0.0,0.0,8946.0,0,150.0,0.0,6,0.0,8250.0,1600.0,2,0.0,8968.42857142857,8940.0,-5.1192773107209595
2020-02-03,0.0,0.0,0.0,0.0,9068.0,0.0,0.0,0.0,8940.0,0,162.0,0.0,0,0.0,8946.0,1750.0,2,0.0,8957.142857142857,9756.0,-4.189418104111874
2020-02-04,0.0,0.0,0.0,0.0,9196.0,0.0,0.0,0.0,9756.0,0,193.0,0.0,1,0.0,8940.0,1111.0,2,0.0,9055.42857142857,8815.0,-3.962322873620452
2020-02-05,0.0,0.0,0.0,0.0,9223.0,0.0,0.0,0.0,8815.0,0,194.0,170.0,2,0.0,9756.0,1019.0,2,0.0,9001.0,7976.0,-5.3237984952393
2020-02-06,0.0,0.0,0.0,0.0,9077.0,0.0,0.0,0.0,7976.0,0,192.0,170.0,3,0.0,8815.0,1074.0,2,0.0,8822.857142857143,10228.0,-2.87250382322455
2020-02-07,0.0,0.0,0.0,0.0,8250.0,0.0,0.0,0.0,10228.0,1,123.0,170.0,4,0.0,7976.0,958.0,2,0.0,8987.285714285714,12032.0,-0.8235315646379581
2020-02-08,0.0,0.0,0.0,0.0,8946.0,0.0,0.0,0.0,12032.0,1,87.0,170.0,5,0.0,10228.0,2174.0,2,0.0,9527.57142857143,10872.0,-0.6028533031556258
2020-02-09,0.0,0.0,0.0,0.0,8940.0,0.0,0.0,0.0,10872.0,0,152.0,170.0,6,0.0,12032.0,2106.0,2,0.0,9802.714285714286,11982.0,0.23254313471970048
2020-02-10,0.0,0.0,0.0,0.0,9756.0,0.0,0.0,0.0,11982.0,0,185.0,170.0,0,0.0,10872.0,1311.0,2,0.0,10237.285714285714,11238.0,-0.5139967716631417
2020-02-11,0.0,0.0,0.0,0.0,8815.0,0.0,0.0,0.0,11238.0,0,71.0,170.0,1,0.0,11982.0,1388.0,2,0.0,10449.0,11572.0,-0.7600815421147351
2020-02-12,0.0,0.0,0.0,0.0,7976.0,0.0,0.0,0.0,11572.0,0,140.0,81.0,2,0.0,11238.0,1905.0,2,0.0,10842.857142857143,8991.0,-3.9468871982116243
2020-02-14,0.0,0.0,0.0,0.0,10228.0,0.0,0.0,0.0,8991.0,1,160.0,0.0,4,0.0,11572.0,1735.0,2,0.0,10987.857142857143,8313.0,-4.889291437309207
2020-02-15,0.0,0.0,0.0,0.0,12032.0,0.0,0.0,0.0,8313.0,1,160.0,0.0,5,0.0,8991.0,1735.0,2,0.0,10714.285714285714,9249.0,-4.469638828012574
2020-02-16,0.0,0.0,0.0,0.0,10872.0,0.0,0.0,0.0,9249.0,0,159.0,0.0,6,0.0,8313.0,1745.0,2,0.0,10316.714285714286,9127.0,-4.567402440659261
2020-02-16,0.0,0.0,0.0,0.0,11982.0,0.0,0.0,0.0,9127.0,0,159.0,0.0,6,0.0,9249.0,1745.0,2,0.0,10067.42857142857,9127.0,-4.438640833146052
2020-02-18,0.0,0.0,0.0,0.0,11238.0,0.0,0.0,0.0,9127.0,0,160.0,0.0,1,0.0,9127.0,1625.0,2,0.0,9659.57142857143,9361.0,-4.406641378960694
2020-02-19,0.0,0.0,0.0,0.0,11572.0,0.0,0.0,0.0,9361.0,0,160.0,0.0,2,0.0,9127.0,1616.0,2,0.0,9391.42857142857,9363.0,-4.325765255319759
2020-02-20,0.0,0.0,0.0,0.0,8991.0,0.0,0.0,0.0,9363.0,0,161.0,0.0,3,0.0,9361.0,1750.0,2,0.0,9075.857142857143,9349.0,-4.642906563198491
2020-02-21,0.0,0.0,0.0,0.0,8313.0,0.0,0.0,0.0,9349.0,1,160.0,0.0,4,0.0,9363.0,1750.0,2,0.0,9127.0,8048.0,-5.999831672615579
2020-02-22,0.0,0.0,0.0,0.0,9249.0,0.0,0.0,0.0,8048.0,1,161.0,0.0,5,0.0,9349.0,1718.0,2,0.0,9089.142857142857,9422.0,-4.577188036455094
2020-02-23,0.0,0.0,0.0,0.0,9127.0,0.0,0.0,0.0,9422.0,0,161.0,0.0,6,0.0,8048.0,1570.0,2,0.0,9113.857142857143,9729.0,-4.313827689415229
2020-02-24,0.0,0.0,0.0,0.0,9127.0,0.0,0.0,0.0,9729.0,0,162.0,0.0,0,0.0,9422.0,1570.0,2,0.0,9199.857142857143,9500.0,-4.183125631964017
2020-02-24,0.0,0.0,0.0,0.0,9361.0,0.0,0.0,0.0,9500.0,0,162.0,0.0,0,0.0,9729.0,1570.0,2,0.0,9253.142857142857,9500.0,-4.154799788079286
2020-02-26,0.0,0.0,0.0,0.0,9363.0,0.0,0.0,0.0,9500.0,0,163.0,0.0,2,0.0,9500.0,1930.0,2,0.0,9273.0,9075.0,-4.648219627770154
2020-02-29,0.0,0.0,0.0,0.0,9349.0,0.0,0.0,0.0,9075.0,1,164.0,0.0,5,0.0,9500.0,1930.0,2,0.0,9231.857142857143,9418.0,-4.254346677570599
2020-03-01,0.0,0.0,0.0,0.0,8048.0,0.0,0.0,0.0,9418.0,0,183.0,0.0,6,0.0,9075.0,1299.0,3,0.0,9241.714285714286,7537.0,-6.560151531981965
2020-03-02,0.0,0.0,0.0,0.0,9422.0,0.0,0.0,0.0,7537.0,0,150.0,0.0,0,0.0,9418.0,1488.0,3,0.0,9168.714285714286,8963.0,-5.155507769620959
2020-03-03,0.0,0.0,0.0,0.0,9729.0,0.0,0.0,0.0,8963.0,0,162.0,0.0,1,0.0,7537.0,1750.0,3,0.0,9103.142857142857,9340.0,-4.809169836536846
2020-03-04,0.0,0.0,0.0,0.0,9500.0,0.0,0.0,0.0,9340.0,0,196.0,0.0,2,0.0,8963.0,1287.0,3,0.0,9047.57142857143,8734.0,-4.32498213947955
